P1984	Anime News Network manga ID	5
P1985	Anime News Network anime ID	11
P1986	Dizionario Biografico degli Italiani	8182
P1987	MCN code	93
P1988	Delarge ID	8
P1989	Encyclopaedia Metallum artist ID	385
P199	business division	491
P1990	species kept	2866
P1991	LPSN URL	8
P1992	Plazi ID	31386
P1993	TeX string	70
P1994	AllMusic composition ID	1279
P1995	medical specialty	3836
P1996	parliament.uk ID	1526
P1997	Facebook Places ID	8
P1998	UCI code	892
P1999	UNESCO language status	12
P20	place of death	382434
P200	lake inflows	495
P2000	CPDL ID	7
P2001	Revised Romanisation	1
P2002	Twitter username	29157
P2003	Instagram username	2986
P2004	NALT id	2
P2005	Catalogus Professorum Halensis	1056
P2006	ZooBank author ID	177
P2007	ZooBank publication ID	17
P2008	IPNI publication ID	6
P2009	Exif model	208
P201	lake outflow	556
P2010	Exif make	207
P2011	Cooper-Hewitt Person ID	174
P2012	cuisine	345
P2013	Facebook ID	7546
P2014	MoMA artwork id	2714
P2015	Hansard ID	6916
P2016	Catalogus Professorum Academiae Groninganae id	327
P2017	isomeric SMILES	5
P2018	Teuchos ID	2260
P2019	AllMovie artist ID	6298
P2020	worldfootball.net ID	16004
P2021	Erdős number	2144
P2024	German cattle breed ID	61
P2025	Find A Grave cemetery ID	215
P2026	Avibase ID	31
P2027	Colour Index International constitution ID	2
P2028	United States Armed Forces service number	4
P2029	Dictionary of Ulster Biography ID	831
P2030	NASA biographical ID	302
P2031	work period (start)	117
